Product Description	Price	Prime Status	Product URL	Stars	Number of Reviews
LINKUP - AVA5 Cavo Riser PCIE 5.0┃Pronto Futuro per Supporto GPU Verticale Gen 5┃Velocità x16 128GB/s con Ritiming del Link e Correzione Errori di Potenza┃PCIE 4.0 Compatibile┃Angolo Retto, Nero 10cm	89,	Prime	https://www.amazon.it/LINKUP-5-0%E2%94%83Pronto-5%E2%94%83Velocit%C3%A0-Potenza%E2%94%83PCIE-Compatibile%E2%94%83Angolo/dp/B0CC44BR1R/ref=sr_1_46?keywords=gpu&qid=1699547722&sr=8-46	4,5 su 5 stelle	2.003
QEEROYO Pad Termico, Thermal Pad, 30 Pezzi Pad Termico in Silicone, Thermal Pad in Silicone Blu, Thermal Pad Riutilizzabile, Termico in Silicone, per CPU GPU Dissipatore di Calore, 0,5/1/ 1,5 mm	7,	Non-Prime	https://www.amazon.it/QEEROYO-Termico-Silicone-Riutilizzabile-Dissipatore/dp/B0CJR8DD9D/ref=sr_1_47?keywords=gpu&qid=1699547722&sr=8-47	N/A	N/A
chenyang Cavo modulare da 12 pin a ATX Dual 8 pin e 6 pin splitter GPU scheda grafica per 3080 3090 AX850 AX750 AX650	7,	Non-Prime	https://www.amazon.it/chenyang-modulare-splitter-scheda-grafica/dp/B08PFHVZTS/ref=sr_1_48?keywords=gpu&qid=1699547722&sr=8-48	4,4 su 5 stelle	99
ASUS Dual Nvidia GeForce RTX 2060 6GB EVO Gaming Scheda Grafica, 6GB GDDR6 192-bit PCIE 4.0, GPU NVIDIA Ampere	307,	Prime	https://www.amazon.it/ASUS-Nvidia-GeForce-Grafica-192-bit/dp/B07V32M9SQ/ref=sr_1_49?keywords=gpu&qid=1699547722&sr=8-49	4,6 su 5 stelle	306
EZDIY-FAB Staffa di Supporto per GPU, Supporto per Scheda Grafica ARGB 5V 3PIN, Supporto per GPU Regolabile in Altezza, Supporto per Scheda Video in Alluminio - Bianco	17,	Non-Prime	https://www.amazon.it/EZDIY-FAB-Supporto-Grafica-Regolabile-Alluminio/dp/B0C7GC6JTN/ref=sr_1_50?keywords=gpu&qid=1699547722&sr=8-50	4,5 su 5 stelle	122
Scheda Video MAXSUN AMD Radeon RX 550 Basso Profilo 4GB GDDR5 sff Computer PC Gaming Video Scheda grafica GPU 128-Bit DirectX 12 PCI Express X16 3.0, HDMI, DisplayPort	129,	Prime	https://www.amazon.it/RX-550-Profilo-Computer-DisplayPort/dp/B09SKZSDRT/ref=sr_1_51?keywords=gpu&qid=1699547722&sr=8-51	4,2 su 5 stelle	149
EVGA TARJETA GRAFICA 6GB GDDR6 GEFORCE RTX 2060 KO ULTRA GAMING 06G-P4-2068-KR	270,	Prime	https://www.amazon.it/EVGA-TARJETA-GRAFICA-GEFORCE-06G-P4-2068-KR/dp/B083JX52VG/ref=sr_1_52?keywords=gpu&qid=1699547722&sr=8-52	4,5 su 5 stelle	1.047
GIGABYTE VGA AMD RX 6600 EAGLE 8G	229,	Non-Prime	https://www.amazon.it/GIGABYTE-VGA-AMD-6600-EAGLE/dp/B09JCKJ2G9/ref=sr_1_53?keywords=gpu&qid=1699547722&sr=8-53	4,4 su 5 stelle	330
PELADN AMD Radeon RX 580 8 GB, Scheda grafica gaming per giochi e mining di criptovaluta, 30 mh/s, 3 porte DP, 1 porta HDMI, GDDR5, Bus 256 bit, GPU Ellesmere, basso consumo 130 W (Gaming)	148,	Prime	https://www.amazon.it/Grafica-Multimediali-Editing-Ellesmere-consumo/dp/B0B1QTMN6G/ref=sr_1_54?keywords=gpu&qid=1699547722&sr=8-54	4,1 su 5 stelle	98
Uyubao Supporto Scheda Video, Supporto Scheda Grafica GPU, Supporto GPU, Alluminio aerospaziale anodizzato, S(30mm-60mm)	8,	Non-Prime	https://www.amazon.it/Uyubao-Alluminio-aerospaziale-anodizzato-30mm-60mm/dp/B0BY4M4YWS/ref=sr_1_55?keywords=gpu&qid=1699547722&sr=8-55	4,6 su 5 stelle	397
Newwyt GPU RAM Rame nichelato Dissipatore di Calore Scheda Grafica Memoria Miner 3060ti 3070ti Giù Pad Termico GPU 15-40 Gradi Rame	17,	Non-Prime	https://www.amazon.it/nichelato-Dissipatore-Grafica-Memoria-Termico/dp/B0C3PYGBXL/ref=sr_1_56?keywords=gpu&qid=1699547722&sr=8-56	N/A	N/A
Dasing Scheda grafica da termica per RTX 3060 3080 3090, scheda grafica di memoria ausiliaria, 90 x 180 mm (4 m)	39,	Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYnRmOjIwMTQxMDEwNDEyNzk4OjowOjo&url=%2FDasing-3060-3080-3090-raffreddamento%2Fdp%2FB09LS99471%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1	4,2 su 5 stelle	7
CY Dual ATX 8Pin Femmina a 6+8pin Maschio 180 Gradi Adattatore Angolo per Scheda Grafica GPU	8,	Non-Prime	https://www.amazon.it/sspa/click?ie=UTF8&spc=MTozNzQ2Nzc0NzI0Mzc0Njc3OjE2OTk1NDc3MjI6c3BfYnRmOjMwMDAzMjk1MTE0OTUzMjo6MDo6&url=%2FFemmina-Maschio-Adattatore-Angolo-Grafica%2Fdp%2FB08NTBZZ1Q%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dgpu%26qid%3D1699547722%26sr%3D8-58-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1	4,4 su 5 stelle	8
